Category,Organization / Business Name,Type,Contact Person,Email,Phone,Website,Service Area,Capabilities / Keywords,Verification Tier,Notes,Source(s),Seed Source
Packaging & Labeling,Smith Corona,Business,Julia Rauhe — Digital Strategist,sales@smithcorona.com,800-875-7000,https://www.smithcorona.com/cannabis-labels.html,"Cleveland, Ohio manufacturing; nationwide",Packaging / Labeling; Printing / Labels,Source-verified,Strong first-party Ohio evidence: current cannabis-label operation manufacturing in Cleveland. Direct contact for content/digital matters; general cannabis-label sales route (sales@smithcorona.com | 800-875-7000) remains the primary contact.,https://www.smithcorona.com/customer-support.html,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 9 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 8, from v51 queue), 2026-08-16; source pages retrieved and reviewed"
Testing Labs,"Smithers CTS Ohio, LLC",Business,Jen Bodine — Ohio Laboratory Director,,330-762-7441,https://www.smithers.com/industries/cannabis-testing/contact-us,Statewide / Columbus,Cannabis Testing; Compliance Testing; Potency Testing; Microbial Testing; Mold / Microbial,Source-verified,"ISO/IEC 17025:2017-accredited cannabis testing laboratory serving Ohio cultivators, processors and medical marijuana licensees. Smithers' current location page explicitly states that the Columbus lab is registered with the Ohio Division of Cannabis Control; verified 2026-08-14. Verified against the current Ohio DCC testing-laboratory roster: dual-use laboratory holding a Certificate of Operation under licence CCL000012-00. Lineage: the former Midway Labs licence passed to Smithers through acquisition — do not re-add Midway as a separate lab. Capability note: microbial and potency testing are tagged for every DCC-licensed laboratory because they form part of the state-mandated compliance panel every licensed lab must run — this is inferred from licensure, not from the lab's own marketing. Confirm the full test menu and any specialist capability directly.",https://elicense.com.ohio.gov/s/licensesearch | https://com.ohio.gov/divisions-and-programs/cannabis-control/about-dcc/licenses/testing-labs,Research pass — 2026-08-14; QA'd 2026-08-14; licence verified against Ohio DCC roster — 2026-08-15
Security & Cash Logistics,Solink,Business,,,844-635-7305,https://solink.com/solutions/cannabis-security/,United States and Canada; cloud platform compatible with most existing business cameras,Security / Cash Logistics,Source-verified,"Current first-party evidence confirms a cannabis-specific cloud video-security platform used by dispensaries across North America and compatible with most existing camera systems. Ohio availability is adequately established as a remote platform; confirm any installation partner, retention setting and service-level requirements for the specific site. Documented technology integration: Solink maintains a dedicated Flowhub integration page; Flowhub is also in this Directory.",https://solink.com/solutions/cannabis-security/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 5 audit, 2026-08-15 | Pass 1 research (round 3), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping, 2026-08-16; source pages retrieved and reviewed | Security & Cash Logistics pass, 2026-08-22; source pages retrieved and reviewed"
Banking & Financial Services,Solvent,Business,,success@solvent.io,970-403-5503,https://www.solvent.io/cannabis-banking/ohio,Ohio | United States,Banking / Financial Services; Payments / Merchant Services,Source-verified,"Current Ohio page offers cannabis banking placement and payment-processing support. Solvent is not itself a bank; it matches and onboards businesses to partner institutions. Vendor regulatory and provider-list prose is service guidance, not independent legal authority.",https://www.solvent.io/cannabis-banking/ohio | https://www.solvent.io/contact-us,"Banking & Financial Services audit, 2026-08-22; source pages retrieved and reviewed"
Cultivator / Processor / Dispensary,Southern Ohio Botanicals,Business,Art Robbins — Owner (known Anthony relationship),,Portsmouth: 740-259-4062 | Waverly: 740-496-4186,https://southernohiobotanicals.com/about/,Portsmouth / Southern Ohio,Cannabis Operator,Source-verified,Official site,https://southernohiobotanicals.com/contact/ | https://www.ohiocannabisexpo.com/,"Organizations | Warm Contacts | Batch 1 audit, 2026-08-15; source pages retrieved and reviewed"
Banking & Financial Services,Spendr,Business,Lucas Gould — Founder & CEO,hello@spendr.com | support@spendr.com,513-440-1590,https://www.spendr.com/faq,Ohio | United States,Banking / Financial Services,Source-verified,Current provider and live Ohio store locator confirm Ohio payment-service relevance.,https://www.spendr.com/business | https://www.spendr.com/store-locator,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 8 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 7, from v50 queue), 2026-08-16; source pages retrieved and reviewed | Banking & Financial Services audit, 2026-08-22; source pages retrieved and reviewed"
Insurance,Spire Insurance Solutions,Business,"Tyler Bartosh — Vice President, CIC/CICS",service@thespireteam.com,800-686-8664,https://www.spireamerica.com/cannabis-insurance/,"Ohio (nationwide agency, HQ Traverse City MI)",Insurance,Source-verified,"Flag cleared: the thespireteam.com email domain is NOT a mismatch — Spire's own current website publishes service@thespireteam.com alongside 800-686-8664. This reverses an earlier caveat in this workbook that treated the domain difference as suspicious. Current Ohio cannabis coverage confirmed. Spire's cannabis page identifies Bartosh as a primary person on cannabis accounts specifically, not merely a corporate executive.",https://www.spireamerica.com/cannabis-insurance/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 4 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research, 2026-08-16; source pages retrieved and reviewed | Reconciliation pass against a duplicate/older-snapshot research round, 2026-08-16; source pages retrieved and reviewed"
Marketing & Media,Spokes Digital,Business,Varun Patel — Founder & CEO; Lauren Laplante — CGO,innovate@spokesdigital.us,215-990-9298 | 415-841-2685,https://spokesdigital.us/consultation-form/,Ohio-serving; United States,Marketing / Media,Source-verified,"Current 2026 activity directly includes IgniteIt: Ohio Valley Cannabis Conference — IgniteIt is itself an entry in this Directory, so the Ohio engagement is corroborated on both sides. Named contacts added.",https://www.1888pressrelease.com/spokes-digital-to-showcase-cutting-edge-cannabis-marketing-s-pr-765828.html,"Research pass — 2026-08-14 | Batch 9 audit, 2026-08-15; source pages retrieved and reviewed | Marketing & Media audit, 2026-08-22; source pages retrieved and reviewed"
Marketing & Media,Springbig,Business,Andrew Jay Glashow — Chief Executive Officer,info@springbig.com,800-772-9172,https://springbig.com/,Statewide / Multi-Market,Marketing / Media,Source-verified,"This pass flagged the prior contact (Jeffrey Harris) as outdated and named Jaret Christopher as current CEO & President. Independent verification found that claim was itself already stale: Christopher departed as CEO effective May 28, 2026, and the Board appointed Andrew Jay Glashow as CEO effective July 10, 2026 — Glashow is current as of this update. Leadership here has changed three times within about a year; worth re-checking before outreach.",https://springbig.com/2020/11/13/springbig-becomes-first-cannabis-marketing-software-company-to-be-hipaa-certified/ | https://springbig.com/cannabis-loyalty/ | https://springbig.com/features/,"Organizations | Batch 3 audit, 2026-08-14; source pages retrieved and reviewed | Marketing & Media audit, 2026-08-22; source pages retrieved and reviewed"
Cultivator / Processor / Dispensary,Standard Wellness / The Forest,Business,"Jared Maloof — Co-Founder & CEO | Tiana Arriaga — VP, Product & Marketing",tarriaga@standardwellness.com,,https://www.standardwellness.com/contact/,"Vertically integrated, statewide Ohio distribution (multiple dispensaries)",Cannabis Operator,Source-verified,"A current company-published 2026 release names Tiana Arriaga as the media contact and provides her direct email; use it for press/brand inquiries, not as a general sales inbox. General inquiries still route through the official contact form, which says responses may take up to 48 business hours.",https://www.standardwellness.com/contact/ | https://www.standardwellness.com/ohio/ | https://ochbs.com/speakers/ | https://www.cannabismarketspotlight.com/ohio/home | https://www.standardwellness.com/blog/standard-wellness-announces-partnership-with-dabstract-to-expand-premium-concentrate-offerings-in-missouri/,"IgniteIt Network | Organizations | Speakers | Batch 1 audit, 2026-08-14; source pages retrieved and reviewed | Pass 2 B2B relationship mapping, 2026-08-16; source pages retrieved and reviewed | Operator outreach-enrichment pass, 2026-08-22; source pages retrieved and reviewed | Operator residual outreach-enrichment challenge pass, 2026-08-23; source pages retrieved and reviewed"
Events & Expos,Stargazer Cannabis Festival,Business,Chad Thompson — Organizer / Communications Director,,,https://www.stargazerfest.com/,Waverly / Southern Ohio,Events / Expos,Source-verified,"Stargazer Cannabis Festival was held June 12–14, 2026 at Adventures on the River, 9978 OH-220, Waverly. The official site remains active and says a 2027 edition is coming, but no 2027 dates were posted as of 2026-08-23. Chad Thompson’s organizer/communications role remains independently corroborated. FORM-ONLY TERMINAL: the site still republishes info@stargazerfest.com, but that address previously bounced and was not restored as usable contact data; corporate@stargazerfest.com is published only for privacy/data requests and was not repurposed. Use the official contact form.",https://www.stargazerfest.com/ | https://www.stargazerfest.com/privacy-policy | https://www.stargazerfest.com/privacy-policy/terms-and-conditions | https://abc6onyourside.com/news/local/how-to-earn-1k-by-judging-marijuana-in-ohio-columbus-pot-weed-cannabis-recreational-medical-waverly-stargazer-festival,"Events & Expos research pass — 2026-08-22; source pages retrieved and reviewed | Events currency QA — 2026-08-22; source pages retrieved and reviewed | Events & Expos outreach-enrichment pass, 2026-08-23; form-only terminal; bounced address not restored"
Insurance,Starwind Specialty Insurance Services,Business,"Charles Pyfrom — EVP, Sales + Distribution",cpyfrom@starwindins.com,805-813-4044,https://www.starwindins.com/cannabis,Nationwide,Insurance,Source-verified,Flag cleared; title upgraded. Email and 805-813-4044 remain current.,https://www.starwindins.com/cannabis,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 4 audit, 2026-08-15; source pages retrieved and reviewed"
Real Estate / Build-Out,Stockmeister Services,Business,,info@stockmeister.com,740-286-8000 | Emergency: 740-286-2665,https://stockmeister.com/cannabis/,Ohio | Regional cannabis projects,Real Estate / Build-Out; Construction / Build-Out,Source-verified,"Current first-party cannabis construction offering and Ohio regional presence confirmed. No individual applies — cannabis and construction inquiries route through the company contact channel; no public cannabis lead designated. Documented client relationships: CannAscend (Wilmington, OH cannabis facility, listed among Stockmeister's completed projects — see the CannAscend Ohio Processing entry for the current-ownership correction this finding helped confirm) and, historically, the Strawberry Fields dispensary locations in Monroe, Dayton, Logan and Marietta — built under the original CannAscend dispensary ownership before Columbia Care's 2021 acquisition of that business. Those four locations now operate under the Columbia Care/Cannabist lineage; the construction relationship is retained as historical rather than a current Cannabist engagement.",https://stockmeister.com/contact-us/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 6), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 2), 2026-08-16; source pages retrieved and reviewed"
Out of scope — flagged for removal or separate list,Stockton University,Business,Rob Mejia — Professor,Robert.Mejia@stockton.edu,,https://stockton.edu/cannabis-hemp-research-initiative/about.html,New Jersey; national education; no current Ohio operating nexus,Reference / Out of Scope; Academic,Source-verified,"FINAL DISPOSITION — out of scope. Stockton’s Cannabis & Hemp Research Initiative and Rob Mejia’s current cannabis-studies role are legitimate and first-party verified, but Stockton is a New Jersey academic institution without a current Ohio operating nexus. Retain as a speaker/academic reference and exclude from the shareable Ohio provider directory.",https://ochbs.com/speakers/ | https://stockton.edu/cannabis-hemp-research-initiative/about.html | https://stockton.edu/relations/experts-for-media.html,"Organizations | Speakers | Batch 3 audit, 2026-08-14; source pages retrieved and reviewed | Out-of-scope disposition cleanup, 2026-08-23; current Stockton faculty/program pages reviewed"
Cultivator / Processor / Dispensary,Story Cannabis,Business,Sadie Thompson — Published media contact (Proven Media),sadie@provenmedia.com,602-527-0794 | Columbus: 380-244-2705,https://storycannabis.com/contact-us/,"8 Ohio dispensaries: Cincinnati (x2), Cleveland (x2), Columbus, Coshocton, Dublin, Massillon",Cannabis Operator,Source-verified,"Ohio footprint confirmed across Columbus, Cincinnati, Cleveland, Massillon, Coshocton, Forest Park and Dublin. Documented vendor relationship: DEM360 (security/IT services) names this organization among its current cannabis clients. DEM360 is also an entry in this Directory. Specific Ohio-facility attribution is not established beyond DEM360's general client list.DCC roster-verified: all 8 locations confirmed active, but held under EIGHT different, unrelated-sounding legal entities (Canoe Hill Ohio 2 LLC, Cannavitz Ventures LLC, CH2B Ohio LLC, OHG10B LLC, Ohio Griz LLC, HWB Ohio LLC, Heritage Wellness Ohio LLC, CV10B LLC) with no shared naming pattern — a more fragmented corporate structure than most other multi-location Ohio operators in this Directory, worth noting for anyone trying to trace ownership.",https://www.provenmedia.com/press-releases/story-cannabis-company-opens-two-new-medical-dispensaries-in-cincinnati-ohio/,"Organizations | Batch 3 audit, 2026-08-14; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 2), 2026-08-16; source pages retrieved and reviewed | DCC address-finding reconciliation pass, 2026-08-17; source pages retrieved and reviewed; roster-verified"
Legal & Licensing,StreamLine Cannabis Consulting,Business,Kody Miller — Owner (current public profile; verify at outreach),Streamlinecannabis@gmail.com,814-243-0613,https://streamlinecannabisconsulting.godaddysites.com/,"Ohio-based; Ohio, Pennsylvania, Maryland and additional markets",Legal; Licensing,Source-verified,"Retained. The first-party site says the consultancy was founded in Ohio, reports 14 dispensaries assisted and explicitly offers licensing and compliance work in Ohio. Kody Miller's current public professional profile lists Owner alongside his Bloom Medicinals Ohio general-manager role; confirm availability at outreach. No named Ohio client is publicly identified.",https://streamlinecannabisconsulting.godaddysites.com/ | https://streamlinecannabisconsulting.godaddysites.com/about-us | https://www.linkedin.com/in/kody-miller-1b5b86140,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 6 audit, 2026-08-15 | Pass 1 research (round 5), 2026-08-16; source pages retrieved and reviewed | Legal & Accounting issue-resolution pass, 2026-08-22; source pages retrieved and reviewed"
Insurance,Strive Insurance Group,Business,David Stephens — Commercial Insurance Advisor,,405-341-0630,https://striveins.com/blog/cannabis-general-liability-insurance-ohio/,Ohio,Insurance; General Liability; Surety Bonds,Source-verified,"Ohio cannabis general liability and surety bonds confirmed on Strive's own Ohio-specific pages. Stale-risk flag from Pass 1: this name comes from an about page more than two years old. Given this project has already caught a company that changed CEOs twice within a year, confirm Stephens is still current before using this in outreach. CORRECTED: previously carried as ""Founder & Owner"" with a stale-risk flag from a 2+-year-old source. Current LinkedIn plus an independent Oklahoma commercial real estate association directory confirm his current Strive affiliation, but no first-party source supports a formal executive title — do not upgrade to President/CEO/Founder.",https://striveins.com/blog/cannabis-general-liability-insurance-ohio/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 5 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 2), 2026-08-16; source pages retrieved and reviewed | Reconciliation pass against a duplicate/older-snapshot research round, 2026-08-16; source pages retrieved and reviewed"
Out of scope — flagged for removal or separate list,Students for Sensible Drug Policy,Nonprofit,Kat Murti — Executive Director,outreach@ssdp.org | ssdp@ssdp.org,(202) 240-8860,https://ssdp.org/chapters/,United States; no current Ohio chapter identified,Nonprofit / Advocacy,Source-verified,"DISPOSITION — REFUTED for the current Ohio-scoped directory. SSDP is an active national youth drug-policy organization, but repeated 2026 review found no active Ohio chapter, current Ohio contact or Ohio-specific program in its official chapter materials. Retained only as provenance/separate-list context; the national outreach route remains valid.",https://ssdp.org/ | https://ssdp.org/chapters/,"Research pass — 2026-08-14; Ohio-presence verification pass — 2026-08-14; source pages retrieved and reviewed; Batch 10 audit — 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 10, from v53 queue), 2026-08-16; source pages retrieved and reviewed | Nonprofit issue-resolution pass, 2026-08-22; source pages retrieved and reviewed"
Real Estate / Build-Out,Studio Bliss,Business,Evan Bliss — Founder and Lead Architect,evan@studioblissla.com,323-873-8206,https://studioblissla.com/contact-2/,27+ U.S. states; explicit Ohio cannabis facility-design offering,Real Estate / Build-Out,Source-verified,"NUMERICAL CORRECTION: this workbook recorded ""30+ states documented""; the current site says 27+ U.S. states. Figure corrected downward to match the source. Ohio availability is separately settled — Studio Bliss now has an explicit Ohio cannabis facility-design offering. Documented current provider relationships: a January 2026 strategic partnership with PufCreativ (brand/digital strategy paired with architectural design) and a marketing engagement with TRIP, whose current case study describes effectively serving as Studio Bliss's marketing department (website rebuild, national SEO, content, social, email, executive branding; TRIP reports an estimated 14x return over 12 months). Both PufCreativ and TRIP are entries in this Directory. Neither relationship is Ohio-specific based on available evidence.",https://studioblissla.com/cannabis-dispensary-design/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 6), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 3), 2026-08-16; source pages retrieved and reviewed"
Real Estate / Build-Out,Summit Construction Company,Business,Scott Montgomery — Director of Preconstruction,bids@summitconstruction.com,330-283-9444,https://www.summitconstruction.com/,Northeast and Central Ohio,Real Estate / Build-Out; Construction / Build-Out,Source-verified,"Current portfolio supports the Galenas cultivation facility project; Galenas is also an entry in this Directory. Documented client relationship: Galenas — a 10,000 SF Ohio cannabis cultivation facility, per Summit's own project page, which states Summit managed all aspects of construction including grow-process owner items, budget and schedule. Galenas is also an entry in this Directory.",https://www.summitconstruction.com/project/galenas-new-building | https://www.summitconstruction.com/contact,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research (round 6), 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 2), 2026-08-16; source pages retrieved and reviewed"
Cultivator / Processor / Dispensary,Supergood,Business,Darcie Fanhauser — Chief Financial Officer,hello@supergoodstore.com,234-703-0150,https://supergoodstore.com/store/ravenna/,"Ravenna, Ohio",Dispensary / Retail,Source-verified,"Current brand channels supply a direct organizational email and Ravenna store phone. Simple AG Ohio, LLC's second Canal Winchester license remains unassigned to the Supergood brand without first-party confirmation.",https://supergoodstore.com/store/ravenna/ | https://www.facebook.com/Supergood.OH/ | Ohio DCC active licensee roster (CCD000059-00),"Pass 2A promotion — 12 confirmed candidates, 2026-08-17; source pages retrieved and reviewed | Operator outreach-enrichment pass, 2026-08-22; source pages retrieved and reviewed"
Marketing & Media,Surfside,Business,Michael Blanche — Co-Founder & Co-CEO,hello@surfside.io,,https://surfside.io/commerce-media,United States and Canada,Marketing / Media,Source-verified,Current first-party material confirms an active cannabis commerce-media platform and broad dispensary/brand availability across the United States and Canada. Ohio-specific clients are not claimed; broad current availability resolves the former geography flag.,https://www.surfside.io/ | https://surfside.io/co-op | https://surfside.io/customers?pageType=customer-dispensary,"Research pass — 2026-08-14 | Batch 9 audit, 2026-08-15 | Pass 1 research (round 9, from v52 queue), 2026-08-16; source pages retrieved and reviewed | Marketing & Media audit, 2026-08-22; source pages retrieved and reviewed"
Technology,Sweed,Business,,sales@sweedpos.com,,https://www.sweedpos.com/ohio-cannabis-dispensary,Ohio,Technology; Regulatory Compliance,Source-verified,"Ohio service is confirmed by Sweed's current Ohio product page. The page misnames the regulator as the “Ohio Cannabis Control Commission”; retain that as a source caveat, but it is not an unresolved inclusion issue and must not be cited as current Ohio law.",https://www.sweedpos.com/ohio-cannabis-dispensary | https://www.sweedpos.com/,"Organizations | Batch 3 audit, 2026-08-14 | Pass 1 research, 2026-08-16; source pages retrieved and reviewed | Technology audit, 2026-08-22; source pages retrieved and reviewed"
Security & Cash Logistics,Talaria,Business,Ari Raptis — Founder & CEO,sales@talaria.com,484-704-2681,https://talaria.com/ohio/,"Ohio and 18 other states plus Washington, D.C.",Security / Cash Logistics,Source-verified,Ohio cannabis distribution/logistics directly confirmed via Talaria's own coverage page (Ohio listed as a distribution market) — distinguished from the broader banking/cash-management footprint rather than treating every Talaria service as having identical geographic coverage.,https://talaria.com/blog/associated-press-talaria-nsts-partnership-expansion-with-ethos/ | https://talaria.com/cash-services/ | https://talaria.com/banking/,"Organizations | Batch 3 audit, 2026-08-14; source pages retrieved and reviewed"
Out of scope — flagged for removal or separate list,TechPOS,Business,,,1-833-722-3663,https://techpos.com/,United States and Canada; no verified current Ohio deployment,Technology,Source-verified,"Moved to the retained separate-list/out-of-scope bucket after Ohio-referral review. TechPOS remains a current U.S./Canadian cannabis retail platform with Metrc capability, automatic purchase-limit checks, a demo route and published support phone. Its current site does not mention Ohio, and its named customer examples are outside Ohio; no Ohio operator/client or Ohio-specific OARRS/PMP configuration was found. Preserve as a national reference; do not present as Ohio-referral-safe without current Ohio evidence.",https://techpos.com/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 5 audit, 2026-08-15 | Pass 1 research (round 3), 2026-08-16; source pages retrieved and reviewed | Technology audit, 2026-08-22; source pages retrieved and reviewed | v67-TECH2 Technology disposition pass, 2026-08-23; current first-party platform and contact information retrieved and reviewed"
Real Estate / Build-Out,Terrapin Construction Group,Business,"William C. Goodin — VP, Project Development",info@terrapincg.com,,https://terrapincg.com/cannabis-facility-construction,"Nationwide (HQ Denver, CO); active Ohio presence including Columbus",Real Estate / Build-Out; Construction / Build-Out,Source-verified,"Correction to an earlier note in this workbook, which had swung too far the other way. An earlier pass corrected a wrong ""Columbus-based"" claim by stating Terrapin is Denver-HQ with only general Ohio project experience; that understated it. Terrapin currently has a Columbus-specific cannabis construction presence and documents an AYR Wellness project in Cleveland. Nationwide geography retained, Ohio/Columbus activity restored explicitly. Chosen deliberately over a generic senior executive: Goodin leads early-stage project strategy and client engagement through contract execution. Documented client relationship: AYR Wellness, a 60,000 SF Cleveland, OH cannabis facility — construction administration through occupancy, per Terrapin's own current project portfolio.",https://terrapincg.com/cannabis-facility-construction,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 4 audit, 2026-08-15; source pages retrieved and reviewed | Pass 1 research, 2026-08-16; source pages retrieved and reviewed | Reconciliation pass against a duplicate/older-snapshot research round, 2026-08-16; source pages retrieved and reviewed | Pass 2 B2B relationship mapping, 2026-08-16; source pages retrieved and reviewed"
Cultivator / Processor / Dispensary,Terrasana Cannabis Co.,Business,Craig Maurer — Owner / Founder,hello@terrasanacannabisco.com,614-434-6929,https://terrasanacannabisco.com/about/,"7 current Ohio dispensaries; Columbus cultivation and processing; planned Akron, Canton and Zanesville dispensaries",Cannabis Operator; Cultivation; Processing; Dispensary / Retail,Source-verified,"Battle Green Holdings/BCR remains the current seven-store retail legal-entity pattern. CannaMed Therapeutics LLC is also a confirmed Terrasana-family DCC entity: its active Columbus cultivation license is CCC000017-00, while CCD000164-00 (Zanesville), CCD000249-00 (Canton) and CCD000250-00 (Akron) are provisional credentials tied by exact-address reporting to planned Terrasana stores. Those three addresses are not on Terrasana's current locator, so they are not counted as operating storefronts. Batch 3 also maps CannaMed Therapeutics Processing LLC / CCP000062-00 at 1225 Boltonfield St into the same Terrasana family by exact facility and legal-name lineage. That processor record is absent from the current DCC Current Roster tab, so its license activity is not independently counted as current.","https://terrasanacannabisco.com/contact/ | https://terrasanacannabisco.com/terms-of-use/ | https://apps.apple.com/us/developer/battle-green-holdings-llc/id1643961797 | https://www.yahoo.com/news/terrasana-cannabis-dispensary-opening-former-100320532.html | Ohio DCC Current Roster, CannaMed Therapeutics LLC / CCC000017-00, CCD000164-00, CCD000249-00 and CCD000250-00 | Batch 3 supplied DCC record, CannaMed Therapeutics Processing LLC / CCP000062-00","Organizations | Research cleanup — 2026-08-14 | Batch 1 audit, 2026-08-14; source pages retrieved and reviewed | DCC address-finding reconciliation pass, 2026-08-17; source pages retrieved and reviewed; roster-verified | DCC legal-entity → trade-name mapping Batch 2, 2026-08-23; source pages retrieved and reviewed; roster-verified | DCC legal-entity → trade-name mapping Batch 3, 2026-08-23; source pages retrieved and reviewed; roster-verified"
Marketing & Media,Terrayn,Business,,office@terrayn.com,412-844-5353,https://www.terrayn.com/contact/,North America / United States,Marketing / Media,Source-verified,Current first-party material confirms an active cannabis-marketing practice serving dispensaries across North America and hundreds of campaigns. Ohio-specific clients are not claimed; broad current availability satisfies the directory threshold. OUTREACH ROUTE (2026-08-23): the current official contact page publishes office@terrayn.com and 412-844-5353.,https://www.terrayn.com/ | https://www.terrayn.com/dispensary-marketing-agency-services/ | https://www.terrayn.com/contact/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 6 audit, 2026-08-15 | Pass 1 research (round 4), 2026-08-16; source pages retrieved and reviewed | Marketing & Media audit, 2026-08-22; source pages retrieved and reviewed | Marketing & Media outreach-enrichment pass, 2026-08-23; source pages retrieved and reviewed"
Staffing & HR,Tesseon,Business,,,800-345-0087,https://tesseon.com/contact-us/,United States; Missouri-based; Ohio client not publicly identified,Staffing / HR; Human Resources; Payroll,Source-verified,"Current first-party cannabis offering covers payroll, HR, onboarding, timekeeping, screening and 280E labor allocation, with a direct demo/contact route. Retained as a national cannabis-specialist platform; no Ohio client, deployment or state-specific implementation is asserted.",https://tesseon.com/who-we-serve/cannabis-industry/,"Research pass — 2026-08-14; QA'd 2026-08-14 | Batch 7 audit, 2026-08-15 | Pass 1 research (round 5), 2026-08-16; source pages retrieved and reviewed | Staffing & HR issue-resolution pass — 2026-08-22; current first-party cannabis and contact pages retrieved and reviewed"
Events & Expos,The 420 Olympics,Business,,,,https://www.eventbrite.com/e/the-3rd-annual-420-olympics-tickets-1983394873458,Cleveland / Northeast Ohio,Events / Expos,Source-verified,"The 3rd Annual 420 Olympics was held April 18, 2026 at Connect Studios in Cleveland and was organized by Fruition Enterprises. The organizer maintains a current Eventbrite profile, but no fourth-edition date or separate organizer website is published. FORM-ONLY TERMINAL: Eventbrite’s organizer Contact control is the defensible public route; no individual organizer, email or phone is inferred.",https://www.eventbrite.com/e/the-3rd-annual-420-olympics-tickets-1983394873458 | https://www.eventbrite.com/o/fruition-enterprises-108076731171 | https://docmj.com/ohio/cleveland/420-olympics/,"Events & Expos research pass — 2026-08-22; source pages retrieved and reviewed | Events currency QA — 2026-08-22; source pages retrieved and reviewed | Events & Expos outreach-enrichment pass, 2026-08-23; Eventbrite form-only terminal verified"
Cultivator / Processor / Dispensary,The Botanist (Acreage Holdings),Business,"Patrick Corrigan — Manager, Strategic Initiatives (Acreage)",columbus@shopbotanist.com,614-924-2155,https://shopbotanist.com/locations/columbus-dispensary/,"Akron, Canton, Cleveland (x2), Columbus, Solon and Wickliffe, Ohio (7 locations)",Cannabis Operator,Source-verified,"Current Ohio footprint confirmed in Akron, Canton, Columbus, Solon and Wickliffe. Documented technology/vendor stack (Ohio-applicable): Dutchie's own E-Commerce Pro case study names four Certified Partners working together on The Botanist's rebuild — LeafBridge (development), PufCreativ (design), DEEPROOTS (SEO), and, per Dutchie's fuller case study, POINT BRAND Marketing Agency (strategy/replatform lead). The case study includes Canton, Ohio store imagery. Reported results (49% increase in new online customers, 55% increase in organic clicks, 44% improvement in average non-brand ranking) are vendor-published case-study figures, not independently audited — preserved with that attribution. Dutchie, PufCreativ and DEEPROOTS are also entries in this Directory.DCC LEGAL ENTITY CONFIRMED via roster gap scan: The Botanist is operated by Greenleaf Apothecaries, LLC (7 active Ohio dispensary licenses — Akron, Canton, Cleveland x2, Columbus, Solon, Wickliffe — a larger footprint than the 5 previously on file). The same corporate family holds Greenleaf Gardens, LLC (cultivator, Middlefield) and Greenleaf Therapeutics, LLC (processor, Middlefield, same 70,000 sq ft facility) — a fully vertically integrated Ohio operation, all under Acreage Holdings via a 2018 acquisition (originally structured as a licensed management agreement that drew Ohio Board of Pharmacy scrutiny before a 2019 settlement; fully acquired by 2021). Greenleaf reports supplying wholesale product to roughly 40 of Ohio's dispensaries beyond its own stores.",https://shopbotanist.com/locations/columbus-dispensary/,"Organizations | Batch 3 audit, 2026-08-14; source pages retrieved and reviewed | Pass 2 B2B relationship mapping (round 4), 2026-08-16; source pages retrieved and reviewed"
Accounting & Tax,The Canna CPAs,Business,Sandy Suchoff — CPA & Founder,info@thecannacpas.com,(833) 272-2262,https://thecannacpas.com/,Statewide / Multi-Market,Accounting; Tax,Source-verified,,https://cannacon.org/seminar-location/midwest-lansing-2025/ | https://thecannacpas.com/contact/,"Organizations | Speakers | Batch 1 audit, 2026-08-15; source pages retrieved and reviewed"
